case_name,Gc_J_m2,l0_m,l0_over_h,final_max_damage,final_mean_damage,final_frac_damage_ge_095
sweep_gc5547_l0h5p0,5546.666666666667,0.3333333333333333,5.0,1.0,0.15973859337802654,0.036790189282857905
sweep_gc5547_l0h6p0,5546.666666666667,0.4,6.0,1.0,0.17194910193076773,0.04025593175153293
sweep_gc5547_l0h7p0,5546.666666666667,0.4666666666666667,7.0,1.0,0.18325668896228098,0.0418555051986137
sweep_gc6933_l0h5p0,6933.333333333333,0.3333333333333333,5.0,1.0,0.14874902151196265,0.03305785123966942
sweep_gc6933_l0h6p0,6933.333333333333,0.4,6.0,1.0,0.16040799714025328,0.034924020261263664
sweep_gc6933_l0h7p0,6933.333333333333,0.4666666666666667,7.0,1.0,0.17125255220663627,0.03652359370834444
sweep_gc8320_l0h5p0,8320.0,0.3333333333333333,5.0,1.0,0.14028750856191965,0.029858704345507865
sweep_gc8320_l0h6p0,8320.0,0.4,6.0,1.0,0.1515220895780762,0.03225806451612903
sweep_gc8320_l0h7p0,8320.0,0.4666666666666667,7.0,1.0,0.16200628091793184,0.03305785123966942
