step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.0015000638237243598,1.0,0.14870277048745573,0.03305785123966942
2,0.1,0.003000027668777766,1.0,0.14872789313965543,0.03305785123966942
3,0.15000000000000002,0.004500022809652304,1.0,0.14873597045984607,0.03305785123966942
4,0.2,0.006000024266563438,1.0,0.14873974536125995,0.03305785123966942
5,0.25,0.0075000281429942325,1.0,0.14874156067484617,0.03305785123966942
6,0.30000000000000004,0.009000032820373137,1.0,0.148742560068783,0.03305785123966942
7,0.35000000000000003,0.010500037820952492,1.0,0.148743160882719,0.03305785123966942
8,0.4,0.012000043223919711,1.0,0.14874356066083105,0.03305785123966942
9,0.45,0.01350004806380342,1.0,0.14874452189383464,0.03305785123966942
10,0.5,0.015000053307768168,1.0,0.1487447574115145,0.03305785123966942
11,0.55,0.016500058577507328,1.0,0.14874492286630514,0.03305785123966942
12,0.6000000000000001,0.0180000639026242,1.0,0.14874504282368356,0.03305785123966942
13,0.65,0.01950006918467746,1.0,0.14874513327816888,0.03305785123966942
14,0.7000000000000001,0.02100007447744053,1.0,0.14874520272557543,0.03305785123966942
15,0.75,0.022500079777085666,1.0,0.14874525698013907,0.03305785123966942
16,0.8,0.02400008508126971,1.0,0.14874529998505145,0.03305785123966942
17,0.8500000000000001,0.02550009038852824,1.0,0.1487453344903543,0.03305785123966942
18,0.9,0.027000095697916754,1.0,0.14874536222207344,0.03305785123966942
19,0.9500000000000001,0.028500100879372582,1.0,0.14874676608759296,0.03305785123966942
20,1.0,0.030000105896532035,1.0,0.14874902151196265,0.03305785123966942
